Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,Closing Date,Closing Year,CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,QBFASSET,RESTYPE,RESTYPE1,SAVR
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,18-Dec-09,10161,12/18/2009,2009,26348,NM,"LA JOLLA, CA",271497,12/18/2009,10161,3728,IMPERIAL CAPITAL BANK,4046888,FAILURE,PA,DIF
Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),18-Dec-09,10166,12/18/2009,2009,26820,SM,"SPRINGFIELD, IL",0,12/18/2009,10166,3729,INDEPENDENT BANKERS' BANK,585508,FAILURE,PI,DIF
New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,18-Dec-09,10163,12/18/2009,2009,32276,SB,"IRONDALE, AL",311641,12/18/2009,10163,3732,NEW SOUTH FEDERAL SAVINGS BANK,1464127,FAILURE,PA,DIF
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,18-Dec-09,10162,12/18/2009,2009,1006,NM,"NEW BALTIMORE, MI",68476,12/18/2009,10162,3727,CITIZENS STATE BANK,168551,FAILURE,DINB,DIF
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,18-Dec-09,10165,12/18/2009,2009,32167,SB,"PANAMA CITY, FL",597058,12/18/2009,10165,3731,PEOPLES FIRST COMMUNITY BANK,1795420,FAILURE,PA,DIF
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,18-Dec-09,10164,12/18/2009,2009,58315,NM,"ATLANTA, GA",98961,12/18/2009,10164,3733,ROCKBRIDGE COMMERCIAL BANK,294024,FAILURE,PO,DIF
SolutionsBank,Overland Park,KS,4731,Arvest Bank,11-Dec-09,10160,12/11/2009,2009,4731,SM,"OVERLAND PARK, KS",93393,12/11/2009,10160,3724,SOLUTIONSBANK,511103,FAILURE,PA,DIF
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,11-Dec-09,10159,12/11/2009,2009,58399,N,"MESA, AZ",15047,12/11/2009,10159,3726,"VALLEY CAPITAL BANK, N.A.",40270,FAILURE,PA,DIF
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,11-Dec-09,10158,12/11/2009,2009,22846,N,"MIAMI, FL",77977,12/11/2009,10158,3725,"REPUBLIC FEDERAL BANK, N.A.",433011,FAILURE,PA,DIF
Greater Atlantic Bank,Reston,VA,32583,Sonabank,4-Dec-09,10156,12/4/2009,2009,32583,SB,"RESTON, VA",26610,12/4/2009,10156,3722,GREATER ATLANTIC BANK,203262,FAILURE,PA,DIF
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",4-Dec-09,10154,12/4/2009,2009,10440,NM,"AURORA, IL",79321,12/4/2009,10154,3718,BENCHMARK BANK,173062,FAILURE,PA,DIF
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,4-Dec-09,10155,12/4/2009,2009,29776,SB,"CLEVELAND, OH",1697964,12/4/2009,10155,3721,AMTRUST BANK,11438990,FAILURE,PA,DIF
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,4-Dec-09,10153,12/4/2009,2009,12080,NM,"REIDSVILLE, GA",14705,12/4/2009,10153,3719,THE TATNALL BANK,49612,FAILURE,PA,DIF
