Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,Closing Date,Closing Year,CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,QBFASSET,RESTYPE,RESTYPE1,SAVR
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,4-Dec-09,10157,12/4/2009,2009,26290,N,"NORCROSS, GA",34282,12/4/2009,10157,3720,FIRST SECURITY NATIONAL BANK,127455,FAILURE,PA,DIF
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,4-Dec-09,10152,12/4/2009,2009,34663,NM,"ATLANTA, GA",310552,12/4/2009,10152,3723,THE BUCKHEAD COMMUNITY BANK,856236,FAILURE,PA,DIF
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,20-Nov-09,10151,11/20/2009,2009,58016,NM,"FORT MYERS, FL",32236,11/20/2009,10151,3717,COMMERCE BANK OF SOUTHWEST FLORIDA,70997,FAILURE,PA,DIF
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,13-Nov-09,10150,11/13/2009,2009,57914,N,"SAN CLEMENTE, CA",33470,11/13/2009,10150,3716,PACIFIC COAST NATIONAL BANK,131418,FAILURE,PA,DIF
Orion Bank,Naples,FL,22427,IBERIABANK,13-Nov-09,10149,11/13/2009,2009,22427,SM,"NAPLES, FL",713129,11/13/2009,10149,3714,ORION BANK,2612515,FAILURE,PA,DIF
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,13-Nov-09,10148,11/13/2009,2009,32267,SB,"SARASOTA, FL",306877,11/13/2009,10148,3715,"CENTURY BANK, A FEDERAL SAVINGS BANK",755923,FAILURE,PA,DIF
United Commercial Bank,San Francisco,CA,32469,East West Bank,6-Nov-09,10147,11/6/2009,2009,32469,NM,"SAN FRANCISCO, CA",582250,11/6/2009,10147,3712,UNITED COMMERCIAL BANK,10895336,FAILURE,PA,DIF
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,6-Nov-09,10146,11/6/2009,2009,19450,NM,"ST LOUIS, MO",11648,11/6/2009,10146,3709,GATEWAY BANK OF ST LOUIS,26882,FAILURE,PA,DIF
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",6-Nov-09,10143,11/6/2009,2009,35074,NM,"OAKDALE, MN",31685,11/6/2009,10143,3713,PROSPERAN BANK,197442,FAILURE,PA,DIF
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,6-Nov-09,10144,11/6/2009,2009,30329,SB,"DETROIT, MI",8612,11/6/2009,10144,3711,HOME FEDERAL SAVINGS BANK,12994,FAILURE,PA,DIF
United Security Bank,Sparta,GA,22286,Ameris Bank,6-Nov-09,10145,11/6/2009,2009,22286,NM,"SPARTA, GA",60895,11/6/2009,10145,3710,UNITED SECURITY BANK,153639,FAILURE,PA,DIF
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,30-Oct-09,10138,10/30/2009,2009,18776,NM,"HOUSTON, TX",12000,10/30/2009,10138,3701,NORTH HOUSTON BANK,325474,FAILURE,PA,DIF
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,30-Oct-09,10142,10/30/2009,2009,33782,NM,"MADISONVILLE, TX",0,10/30/2009,10142,3706,MADISONVILLE STATE BANK,256330,FAILURE,PA,DIF
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,30-Oct-09,10141,10/30/2009,2009,25222,N,"TEAGUE, TX",5846,10/30/2009,10141,3703,CITIZENS NATIONAL BANK,118236,FAILURE,PA,DIF
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,30-Oct-09,10140,10/30/2009,2009,11677,N,"CHICAGO, IL",7607,10/30/2009,10140,3700,PARK NATIONAL BANK,4680881,FAILURE,PA,DIF
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,30-Oct-09,10139,10/30/2009,2009,30006,N,"SAN FRANCISCO, CA",62609,10/30/2009,10139,3704,PACIFIC NATIONAL BANK,2319263,FAILURE,PA,DIF
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,30-Oct-09,10134,10/30/2009,2009,34659,N,"LOS ANGELES, CA",186674,10/30/2009,10134,3707,CALIFORNIA NATIONAL BANK,7781100,FAILURE,PA,DIF
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,30-Oct-09,10135,10/30/2009,2009,23594,N,"SAN DIEGO, CA",40584,10/30/2009,10135,3702,SAN DIEGO NATIONAL BANK,3594544,FAILURE,PA,DIF
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,30-Oct-09,10137,10/30/2009,2009,35291,NM,"LEMONT, IL",25945,10/30/2009,10137,3708,COMMUNITY BANK OF LEMONT,81843,FAILURE,PA,DIF
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,30-Oct-09,10136,10/30/2009,2009,32218,N,"PHOENIX, AZ",11741,10/30/2009,10136,3705,"BANK USA, NA",213205,FAILURE,PA,DIF
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,23-Oct-09,10128,10/23/2009,2009,35038,NM,"WESTMONT, IL",85319,10/23/2009,10128,3694,FIRST DUPAGE BANK,262093,FAILURE,PA,DIF
Riverview Community Bank,Otsego,MN,57525,Central Bank,23-Oct-09,10133,10/23/2009,2009,57525,NM,"OSTEGO, MN",23476,10/23/2009,10133,3696,RIVERVIEW COMMUNITY BANK,99057,FAILURE,PA,DIF
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,23-Oct-09,10132,10/23/2009,2009,18321,SM,"RACINE, WI",99463,10/23/2009,10132,3693,BANK OF ELMWOOD,327444,FAILURE,PA,DIF
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,23-Oct-09,10129,10/23/2009,2009,35044,N,"BRADENTON, FL",62112,10/23/2009,10129,3695,FLAGSHIP NATIONAL BANK,177563,FAILURE,PA,DIF
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,23-Oct-09,10131,10/23/2009,2009,58336,NM,"NAPLES, FL",42976,10/23/2009,10131,3699,HILLCREST BANK FLORIDA,82774,FAILURE,PA,DIF
American United Bank,Lawrenceville,GA,57794,Ameris Bank,23-Oct-09,10127,10/23/2009,2009,57794,NM,"LAWRENCEVILLE, GA",44018,10/23/2009,10127,3697,AMERICAN UNITED BANK,110094,FAILURE,PA,DIF
Partners Bank,Naples,FL,57959,Stonegate Bank,23-Oct-09,10130,10/23/2009,2009,57959,SB,"NAPLES, FL",31809,10/23/2009,10130,3698,PARTNERS BANK,65498,FAILURE,PA,DIF
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,16-Oct-09,10126,10/16/2009,2009,23266,SM,"BAKERSFIELD, CA",79080,10/16/2009,10126,3692,SAN JOAQUIN BANK,766359,FAILURE,PA,DIF
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2-Oct-09,10123,10/2/2009,2009,57263,N,"PUEBLO, CO",8323,10/2/2009,10123,3691,SOUTHERN COLORADO NATIONAL BANK,37142,FAILURE,PA,DIF
Jennings State Bank,Spring Grove,MN,11416,Central Bank,2-Oct-09,10124,10/2/2009,2009,11416,NM,"SPRING GROVE, MN",18876,10/2/2009,10124,3689,JENNINGS STATE BANK,52347,FAILURE,PA,DIF
Warren Bank,Warren,MI,34824,The Huntington National Bank,2-Oct-09,10125,10/2/2009,2009,34824,SM,"WARREN, MI",217722,10/2/2009,10125,3690,WARREN BANK,504816,FAILURE,PA,DIF
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",25-Sep-09,10122,9/25/2009,2009,57151,NM,"ATLANTA, GA",960820,9/25/2009,10122,3688,GEORGIAN BANK,2230230,FAILURE,PA,DIF
"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",18-Sep-09,10121,9/18/2009,2009,57068,SB,"LOUISVILLE, KY",114006,9/18/2009,10121,3687,"IRWIN UNION BANK, FSB",518151,FAILURE,PA,DIF
Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",18-Sep-09,10120,9/18/2009,2009,10100,SM,"COLUMBUS, IN",755962,9/18/2009,10120,3686,IRWIN UNION BANK AND TRUST COMPANY,2839747,FAILURE,PA,DIF
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,11-Sep-09,10119,9/11/2009,2009,22868,NM,"LACEY, WA",201128,9/11/2009,10119,3684,VENTURE BANK,968385,FAILURE,PA,DIF
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,11-Sep-09,10118,9/11/2009,2009,57736,NM,"WOODBURY, MN",24597,9/11/2009,10118,3685,BRICKWELL COMMUNITY BANK,72576,FAILURE,PA,DIF
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",11-Sep-09,10117,9/11/2009,2009,13693,N,"CHICAGO, IL",0,9/11/2009,10117,3683,"CORUS BANK, N.A.",7003321,FAILURE,PA,DIF
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,4-Sep-09,10114,9/4/2009,2009,34875,NM,"FLAGSTAFF, AZ",49833,9/4/2009,10114,3681,FIRST STATE BANK,107235,FAILURE,PA,DIF
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,4-Sep-09,10115,9/4/2009,2009,35030,SB,"ROLLING MEADOWS, IL",0,9/4/2009,10115,3682,PLATINUM COMMUNITY BANK,147961,FAILURE,PO,DIF
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,4-Sep-09,10116,9/4/2009,2009,27732,SB,"SIOUX CITY, IA",101576,9/4/2009,10116,3680,VANTUS BANK,503643,FAILURE,PA,DIF
InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.",4-Sep-09,10113,9/4/2009,2009,20203,NM,"OAK FOREST, IL",56911,9/4/2009,10113,3678,INBANK,209848,FAILURE,PA,DIF
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,4-Sep-09,10112,9/4/2009,2009,25231,NM,"KANSAS CITY, MO",7548,9/4/2009,10112,3679,FIRST BANK OF KANSAS CITY,15723,FAILURE,PA,DIF
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,28-Aug-09,10110,8/28/2009,2009,27197,NM,"VENTURA, CA",234069,8/28/2009,10110,3676,AFFINITY BANK,1211431,FAILURE,PA,DIF
Mainstreet Bank,Forest Lake,MN,1909,Central Bank,28-Aug-09,10111,8/28/2009,2009,1909,NM,"FOREST LAKE, MN",89930,8/28/2009,10111,3675,MAINSTREET BANK,458533,FAILURE,PA,DIF
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),28-Aug-09,10109,8/28/2009,2009,28312,SB,"BALTIMORE, MD",46897,8/28/2009,10109,3677,BRADFORD BANK,451888,FAILURE,PA,DIF
Guaranty Bank,Austin,TX,32618,BBVA Compass,21-Aug-09,10105,8/21/2009,2009,32618,SB,"AUSTIN, TX",0,8/21/2009,10105,3672,GUARANTY BANK,13464352,FAILURE,PA,DIF
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,21-Aug-09,10106,8/21/2009,2009,22130,SM,"BIRMINGHAM, AL",126332,8/21/2009,10106,3671,CAPITALSOUTH BANK,586586,FAILURE,PA,DIF
First Coweta Bank,Newnan,GA,57702,United Bank,21-Aug-09,10108,8/21/2009,2009,57702,NM,"NEWNAN, GA",66684,8/21/2009,10108,3674,FIRST COWETA,163755,FAILURE,PA,DIF
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",21-Aug-09,10107,8/21/2009,2009,34682,SB,"ATLANTA, GA",49948,8/21/2009,10107,3673,EBANK,144688,FAILURE,PA,DIF
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,14-Aug-09,10100,8/14/2009,2009,34043,SM,"LAS VEGAS, NV",557991,8/14/2009,10100,3668,COMMUNITY BANK OF NEVADA,1397798,FAILURE,DINB,DIF
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,14-Aug-09,10101,8/14/2009,2009,57645,NM,"PHOENIX, AZ",26782,8/14/2009,10101,3670,COMMUNITY BANK OF ARIZONA,158517,FAILURE,PA,DIF
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,14-Aug-09,10102,8/14/2009,2009,34485,N,"GILBERT, AZ",51989,8/14/2009,10102,3669,"UNION BANK, NATIONAL ASSOCIATION",119529,FAILURE,PA,DIF
Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",14-Aug-09,10103,8/14/2009,2009,9609,NM,"MONTGOMERY, AL",2381936,8/14/2009,10103,3666,COLONIAL BANK,25455112,FAILURE,PA,DIF
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",14-Aug-09,10104,8/14/2009,2009,31559,SL,"PITTSBURGH, PA",8352,8/14/2009,10104,3667,DWELLING HOUSE SAVINGS AND LOAN,12947,FAILURE,PA,DIF
Community First Bank,Prineville,OR,23268,Home Federal Bank,7-Aug-09,10092,8/7/2009,2009,23268,SM,"PRINEVILLE, OR",73567,8/7/2009,10092,3663,COMMUNITY FIRST BANK,199508,FAILURE,PA,DIF
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",7-Aug-09,10099,8/7/2009,2009,27183,N,"VENICE, FL",25369,8/7/2009,10099,3664,COMMUNITY NATIONAL BANK OF SARASOTA COUNTY,92528,FAILURE,PA,DIF
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",7-Aug-09,10098,8/7/2009,2009,27364,NM,"SARASOTA, FL",119466,8/7/2009,10098,3665,FIRST STATE BANK,447667,FAILURE,PA,DIF
Mutual Bank,Harvey,IL,18659,United Central Bank,31-Jul-09,10094,7/31/2009,2009,18659,NM,"HARVEY, IL",793841,7/31/2009,10094,3659,MUTUAL BANK,1595657,FAILURE,PA,DIF
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,31-Jul-09,10097,7/31/2009,2009,34270,NM,"ELIZABTH, NJ",20048,7/31/2009,10097,3661,FIRST BANKAMERICANO,163372,FAILURE,PA,DIF
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",31-Jul-09,10096,7/31/2009,2009,32288,SB,"WEST CHESTER, OH",61523,7/31/2009,10096,3660,PEOPLES COMMUNITY BANK,606153,FAILURE,PA,DIF
Integrity Bank,Jupiter,FL,57604,Stonegate Bank,31-Jul-09,10095,7/31/2009,2009,57604,NM,"JUPITER, FL",36506,7/31/2009,10095,3662,INTEGRITY BANK,105298,FAILURE,PA,DIF
First State Bank of Altus,Altus,OK,9873,Herring Bank,31-Jul-09,10093,7/31/2009,2009,9873,NM,"ALTUS, OK",25969,7/31/2009,10093,3658,FIRST STATE BANK OF ALTUS,90867,FAILURE,PA,DIF
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,24-Jul-09,10088,7/24/2009,2009,8486,NM,"GRAY, GA",98201,7/24/2009,10088,3651,SECURITY BANK OF JONES COUNTY,432712,FAILURE,PA,DIF
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,24-Jul-09,10087,7/24/2009,2009,27048,NM,"PERRY, GA",50980,7/24/2009,10087,3652,SECURITY BANK OF HOUSTON COUNTY,371624,FAILURE,PA,DIF
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,24-Jul-09,10085,7/24/2009,2009,27367,NM,"MACON, GA",414269,7/24/2009,10085,3653,SECURITY BANK OF BIBB COUNTY,943744,FAILURE,PA,DIF
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,24-Jul-09,10090,7/24/2009,2009,57105,NM,"WOODSTOCK, GA",102031,7/24/2009,10090,3654,SECURITY BANK OF NORTH METRO,184184,FAILURE,PA,DIF
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,24-Jul-09,10089,7/24/2009,2009,57430,NM,"ALPHARETTA, GA",49000,7/24/2009,10089,3656,SECURITY BANK OF NORTH FULTON,190564,FAILURE,PA,DIF
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,24-Jul-09,10086,7/24/2009,2009,57346,NM,"SUWANNEE, GA",193409,7/24/2009,10086,3655,SECURITY BANK OF GWINNETT COUNTY,259182,FAILURE,PA,DIF
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",24-Jul-09,10091,7/24/2009,2009,58065,NM,"WILLIAMSVILLE, NY",7875,7/24/2009,10091,3657,WATERFORD VILLAGE BANK,55707,FAILURE,PA,DIF
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,17-Jul-09,10082,7/17/2009,2009,34341,NM,"TEMECULA, CA",227400,7/17/2009,10082,3649,TEMECULA VALLEY BANK,1396622,FAILURE,PA,DIF
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,17-Jul-09,10083,7/17/2009,2009,23556,N,"RANCHO CUCAMONGA, CA",278591,7/17/2009,10083,3647,"VINEYARD BANK, NATIONAL ASSOCIATION",1638378,FAILURE,PA,DIF
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",17-Jul-09,10081,7/17/2009,2009,34103,SM,"SIOUX FALLS, SD",110201,7/17/2009,10081,3648,BANKFIRST,210844,FAILURE,PA,DIF
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,17-Jul-09,10084,7/17/2009,2009,34594,NM,"WINDER, GA",37998,7/17/2009,10084,3650,FIRST PIEDMONT BANK,114113,FAILURE,PA,DIF
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,10-Jul-09,10080,7/10/2009,2009,22754,NM,"THERMOPOLIS, WY",32543,7/10/2009,10080,3646,BANK OF WYOMING,70188,FAILURE,PA,DIF
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2-Jul-09,10074,7/2/2009,2009,18390,NM,"WORTH, IL",129512,7/2/2009,10074,3644,FOUNDERS BANK,889172,FAILURE,PA,DIF
Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2-Jul-09,10079,7/2/2009,2009,57667,NM,"DALLAS, TX",52700,7/2/2009,10079,3645,MILLENNIUM STATE BANK OF TEXAS,118601,FAILURE,PA,DIF
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2-Jul-09,10078,7/2/2009,2009,3644,N,"DANVILLE, IL",24202,7/2/2009,10078,3639,THE FIRST NATIONAL BANK OF DANVILLE,148218,FAILURE,PA,DIF
The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2-Jul-09,10073,7/2/2009,2009,9262,NM,"ELIZABETH, IL",9832,7/2/2009,10073,3640,THE ELIZABETH STATE BANK,55027,FAILURE,PA,DIF
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2-Jul-09,10075,7/2/2009,2009,15302,NM,"OREGON, IL",18558,7/2/2009,10075,3643,ROCK RIVER BANK,74808,FAILURE,PA,DIF
First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2-Jul-09,10077,7/2/2009,2009,11710,NM,"WINCHESTER, IL",8030,7/2/2009,10077,3641,THE FIRST STATE BANK OF WINCHESTER,30073,FAILURE,PA,DIF
John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,2-Jul-09,10076,7/2/2009,2009,12093,NM,"CLINTON, IL",14315,7/2/2009,10076,3642,THE JOHN WARNER BANK,69609,FAILURE,PA,DIF
Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,26-Jun-09,10072,6/26/2009,2009,57332,NM,"LOS ANGELES, CA",45309,6/26/2009,10072,3636,MIRAE BANK,480619,FAILURE,PA,DIF
MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,26-Jun-09,10071,6/26/2009,2009,57893,NM,"IRVINE, CA",32168,6/26/2009,10071,3638,METROPACIFIC BANK,75316,FAILURE,PA,DIF
Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.",26-Jun-09,10070,6/26/2009,2009,9744,NM,"PINE CITY, MN",24010,6/26/2009,10070,3634,HORIZON BANK,84763,FAILURE,PA,DIF
Neighborhood Community Bank,Newnan,GA,35285,CharterBank,26-Jun-09,10069,6/26/2009,2009,35285,SM,"NEWNAN, GA",80745,6/26/2009,10069,3635,NEIGHBORHOOD COMMUNITY BANK,212616,FAILURE,PA,DIF
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,26-Jun-09,10068,6/26/2009,2009,57436,SM,"VILLA RICA, GA",71792,6/26/2009,10068,3637,COMMUNITY BANK OF WEST GEORGIA,201222,FAILURE,PO,DIF
First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,19-Jun-09,10066,6/19/2009,2009,4614,N,"ANTHONY, KS",33230,6/19/2009,10066,3631,FIRST NATIONAL BANK OF ANTHONY,156954,FAILURE,PA,DIF
Cooperative Bank,Wilmington,NC,27837,First Bank,19-Jun-09,10065,6/19/2009,2009,27837,NM,"WILMINGTON, NC",287345,6/19/2009,10065,3632,COOPERATIVE BANK,966778,FAILURE,PA,DIF
Southern Community Bank,Fayetteville,GA,35251,United Community Bank,19-Jun-09,10067,6/19/2009,2009,35251,NM,"FAYETTEVILLE, GA",136636,6/19/2009,10067,3633,SOUTHERN COMMUNITY BANK,371695,FAILURE,PA,DIF
Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,5-Jun-09,10064,6/5/2009,2009,17309,NM,"LINCOLNWOOD, IL",70969,6/5/2009,10064,3630,BANK OF LINCOLNWOOD,212718,FAILURE,PA,DIF
Citizens National Bank,Macomb,IL,5757,Morton Community Bank,22-May-09,10063,5/22/2009,2009,5757,N,"MACOMB, IL",30969,5/22/2009,10063,3628,CITIZENS NATIONAL BANK,438560,FAILURE,PA,DIF
Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,22-May-09,10062,5/22/2009,2009,35175,NM,"CHAMPAIGN, IL",92681,5/22/2009,10062,3629,STRATEGIC CAPITAL BANK,546576,FAILURE,PA,DIF
"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,21-May-09,10061,5/21/2009,2009,32247,SB,"CORAL GABLES, FL",5228684,5/21/2009,10061,3627,"BANKUNITED, FSB",13111463,FAILURE,PA,DIF
Westsound Bank,Bremerton,WA,34843,Kitsap Bank,8-May-09,10060,5/8/2009,2009,34843,NM,"BREMERTON, WA",81083,5/8/2009,10060,3626,WESTSOUND BANK,334608,FAILURE,PA,DIF
America West Bank,Layton,UT,35461,Cache Valley Bank,1-May-09,10057,5/1/2009,2009,35461,NM,"LAYTON, UT",114399,5/1/2009,10057,3624,AMERICA WEST BANK,281564,FAILURE,PA,DIF
Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,1-May-09,10058,5/1/2009,2009,57563,NM,"RIDGEWOOD, NJ",18229,5/1/2009,10058,3625,CITIZENS COMMUNITY BANK,40657,FAILURE,PA,DIF
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,1-May-09,10059,5/1/2009,2009,26535,N,"ATLANTA, GA",643954,5/1/2009,10059,3623,"SILVERTON BANK, NATIONAL ASSOCIATION",4157246,FAILURE,PO,DIF
First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",24-Apr-09,10055,4/24/2009,2009,34396,SB,"KETCHUM, ID",109287,4/24/2009,10055,3621,"FIRST BANK OF IDAHO, FSB",490656,FAILURE,PA,DIF
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,24-Apr-09,10054,4/24/2009,2009,32069,NM,"CALABASAS, CA",8581,4/24/2009,10054,3619,FIRST BANK OF BEVERLY HILLS,1260354,FAILURE,PO,DIF
Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,24-Apr-09,10056,4/24/2009,2009,34369,SM,"FARMINGTON HILLS, MI",48586,4/24/2009,10056,3620,MICHIGAN HERITAGE BANK,167710,FAILURE,PA,DIF
American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,24-Apr-09,10053,4/24/2009,2009,57943,NM,"KENNESAW, GA",32820,4/24/2009,10053,3622,AMERICAN SOUTHERN BANK,105950,FAILURE,PA,DIF
Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,17-Apr-09,10051,4/17/2009,2009,33824,NM,"ELKO, NV",20023,4/17/2009,10051,3618,GREAT BASIN BANK OF NEVADA,238940,FAILURE,PA,DIF
American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,17-Apr-09,10052,4/17/2009,2009,8266,SB,"SUGAR CREEK, MO",44669,4/17/2009,10052,3617,AMERICAN STERLING BANK,166456,FAILURE,PA,DIF
New Frontier Bank,Greeley,CO,34881,No Acquirer,10-Apr-09,10050,4/10/2009,2009,34881,NM,"GREELEY, CO",913432,4/10/2009,10050,3616,NEW FRONTIER BANK,1774588,FAILURE,DINB,DIF
Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,10-Apr-09,10049,4/10/2009,2009,34639,NM,"WILMINGTON, NC",118565,4/10/2009,10049,3615,CAPE FEAR BANK,492418,FAILURE,PA,DIF
Omni National Bank,Atlanta,GA,22238,No Acquirer,27-Mar-09,10048,3/27/2009,2009,22238,N,"ATLANTA, GA",288643,3/27/2009,10048,3614,OMNI NATIONAL BANK,979585,FAILURE,PO,DIF
"TeamBank, NA",Paola,KS,4754,Great Southern Bank,20-Mar-09,10046,3/20/2009,2009,4754,N,"PAOLA, KS",134593,3/20/2009,10046,3611,"TEAMBANK, N.A.",669830,FAILURE,PA,DIF
Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,20-Mar-09,10045,3/20/2009,2009,18896,N,"COLORADO SPRINGS, CO",12687,3/20/2009,10045,3613,COLORADO NATIONAL BANK,123508,FAILURE,PA,DIF
FirstCity Bank,Stockbridge,GA,18243,No Acquirer,20-Mar-09,10047,3/20/2009,2009,18243,NM,"STOCKBRIDGE, GA",135252,3/20/2009,10047,3612,FIRSTCITY BANK,285015,FAILURE,PO,DIF
Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,6-Mar-09,10044,3/6/2009,2009,57558,NM,"COMMERCE, GA",43267,3/6/2009,10044,3610,FREEDOM BANK OF GEORGIA,172454,FAILURE,PA,DIF
Security Savings Bank,Henderson,NV,34820,Bank of Nevada,27-Feb-09,10043,2/27/2009,2009,34820,NM,"HENDERSON, NV",32328,2/27/2009,10043,3609,SECURITY SAVINGS BANK,238307,FAILURE,PA,DIF
Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.",27-Feb-09,10042,2/27/2009,2009,20078,NM,"GLENWOOD, IL",48231,2/27/2009,10042,3608,HERITAGE COMMUNITY BANK,235154,FAILURE,PA,DIF
Silver Falls Bank,Silverton,OR,35399,Citizens Bank,20-Feb-09,10041,2/20/2009,2009,35399,NM,"SILVERTON, OR",39494,2/20/2009,10041,3607,SILVER FALLS BANK,134206,FAILURE,PA,DIF
Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,13-Feb-09,10040,2/13/2009,2009,57342,NM,"BEAVERTON, OR",10218,2/13/2009,10040,3606,PINNACLE BANK,71921,FAILURE,PA,DIF
Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,13-Feb-09,10037,2/13/2009,2009,16500,NM,"PITTSFIELD, IL",80894,2/13/2009,10037,3604,CORN BELT BANK AND TRUST COMPANY,260201,FAILURE,PA,DIF
Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,13-Feb-09,10038,2/13/2009,2009,34563,SM,"CAPE CORAL, FL",199818,2/13/2009,10038,3605,RIVERSIDE BANK OF THE GULF COAST,523673,FAILURE,PA,DIF
